# Genes with changed CGC names
# old CGC	old GeneID	old SequenceID	old Biotype	new CGC	new GeneID	new SequenceID	new Biotype
.	.	.	.	ints-3	WBGene00022360	Y92H12A.4	CDS
.	.	.	.	ints-9	WBGene00017608	F19F10.12	CDS
.	.	.	.	mek-5	WBGene00017098	E02D9.1	CDS
.	.	.	.	mekk-3	WBGene00013694	Y106G6A.1	CDS
.	.	.	.	nadk-1	WBGene00022307	Y77E11A.2	CDS
.	.	.	.	nadk-2	WBGene00012463	Y17G7B.10	CDS
.	.	.	.	nip-1	WBGene00018386	F43C11.9	CDS
.	.	.	.	nip-2	WBGene00011981	T24C2.2	CDS
.	.	.	.	sec-61.B	WBGene00021427	Y38F2AR.9	CDS
.	.	.	.	serp-1.1	WBGene00010337	F59F4.2	CDS
.	.	.	.	serp-1.2	WBGene00020374	T09A12.5	CDS
.	.	.	.	shpk-1	WBGene00012017	T25C8.1	CDS
.	.	.	.	slc-9B.1	WBGene00009617	F41E7.1	CDS
.	.	.	.	slc-9B.2	WBGene00010214	F57G8.5	CDS
.	.	.	.	suex-1	WBGene00017396	F12A10.7	CDS
.	.	.	.	suex-2	WBGene00008271	C53B4.1	CDS
.	.	.	.	syp-5	WBGene00021832	Y54E10A.12	CDS
.	.	.	.	syp-6	WBGene00019002	F57B10.4	CDS
.	.	.	.	taap-1	WBGene00010879	M05D6.6	CDS
.	.	.	.	unk-1	WBGene00016407	C34D10.2	CDS
.	.	.	.	zzz-1	WBGene00009333	F32D8.10	CDS

# removed CGC names
# old CGC	old GeneID	old SequenceID	old Biotype	new CGC	new GeneID	new SequenceID	new Biotype
frm-9	WBGene00001495	F31B12.3	CDS	.	.	.	.

# assigned Gene changed
# old CGC	old GeneID	old SequenceID	old Biotype	new CGC	new GeneID	new SequenceID	new Biotype

# Biotype changed
# old CGC	old GeneID	old SequenceID	old Biotype	new CGC	new GeneID	new SequenceID	new Biotype
arrd-27	WBGene00009853	F48F7.8	CDS	arrd-27	WBGene00009853	F48F7.8	Pseudogene
fbxc-37	WBGene00017942	F31A9.4	CDS	fbxc-37	WBGene00017942	F31A9.4	Pseudogene
fbxc-38	WBGene00015321	C02B8.2	CDS	fbxc-38	WBGene00015321	C02B8.2	Pseudogene
gcp-2.3	WBGene00044121	C35C5.11	CDS	gcp-2.3	WBGene00044121	C35C5.11	Pseudogene
pqn-11	WBGene00004103	C09G1.1	CDS	pqn-11	WBGene00004103	C09G1.1	Pseudogene

# other changes
# old CGC	old GeneID	old SequenceID	old Biotype	new CGC	new GeneID	new SequenceID	new Biotype
let-7	WBGene00002285	C05G5.6.1	Transcript	let-7	WBGene00002285	C05G5.6	Transcript

