WB_version,category_1,Additional_categories,Gene_set_name,Number_genes,Refs,Data_from,Rawdata,Selection_criteria,decided_by,Comment
WS220,Tissue,development,Up Day 2 Adult P-granule depleted UNC-119::GFP(+),7836,https://pubmed.ncbi.nlm.nih.gov/28258184/,File S1,GSE92690,padj < 0.05; foldchange >= 2,JN,added 2022.05.24
NA,Tissue,NA,1.5X enriched PVD OLL cell-specific,2197,http://www.ncbi.nlm.nih.gov/pubmed/20537990,Supplemental file 1,GSE21162,NA,NA,
NA,TF Targets,NA,14 skn-1 targets,14,http://www.ncbi.nlm.nih.gov/pubmed/21765926,Table 2,NA,NA,NA,
NA,TF Targets,NA,21U-RNA targets,267,http://www.ncbi.nlm.nih.gov/pubmed/22738724,Table S2,GSE38723,NA,NA,
NA,Chemicals/stress,NA,50 cadmium-responsive genes,50,http://www.ncbi.nlm.nih.gov/pubmed/17592649,Additional data file 6,GSE7535,NA,NA,
NA,Tissue,NA,7TM/GPCR genes,66,http://www.ncbi.nlm.nih.gov/pubmed/21177967,Supp file 17,GSE23262-9,NA,NA,
NA,Kim Mountains,NA,AA metabolism,99,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,Tissue,NA,AB cell class (from zygote),80,http://www.ncbi.nlm.nih.gov/pubmed/25875092,S7 dataset,GSE59943,NA,NA,
NA,Tissue,NA,absent in blastomeres compard to whole embryo,380,http://www.ncbi.nlm.nih.gov/pubmed/25487147,Supplementary Table 2,GSE50548,NA,NA,
NA,Tissue,NA,A-class Neuron enriched core,107,http://www.ncbi.nlm.nih.gov/pubmed/21177967,Supp file 3,GSE23262-9,NA,NA,
NA,Mutants,NA,"Activated by germ cell absence, depend on skn-1",87,http://www.ncbi.nlm.nih.gov/pubmed/26196144,Supplemental Table 1d,GSE63075,NA,NA,add in 2015.10.06
NA,Mutants,NA,Activated by glp-1 mutant (Germ cell absence),1303,http://www.ncbi.nlm.nih.gov/pubmed/26196144,Supplemental Table 1a,GSE63075,NA,NA,add in 2015.10.06
NA,Mutants,NA,Activated by skn-1,291,http://www.ncbi.nlm.nih.gov/pubmed/26196144,Supplemental Table 1b,GSE63075,NA,NA,add in 2015.10.06
NA,Mutants,NA,Activated by skn-1 (Germ cell absence),524,http://www.ncbi.nlm.nih.gov/pubmed/26196144,Supplemental Table 1c,GSE63075,NA,NA,add in 2015.10.06
NA,Chemicals/stress,NA,affected by copy number variants,1473,http://www.ncbi.nlm.nih.gov/pubmed/20100350,Supplementary Material 9,GSE15159,NA,NA,
NA,Chemicals/stress,NA,"Affected by OP exposure,",86,http://www.ncbi.nlm.nih.gov/pubmed/19402892,Fig2,GSE12298,NA,NA,
NA,Development/Dauer/Aging,NA,Age markers Top 50,50,http://www.ncbi.nlm.nih.gov/pubmed/18778409,Supplementary Table 15,GSE12290,NA,NA,
NA,TF Targets,NA,Age-regulated elt-2 targets,276,http://www.ncbi.nlm.nih.gov/pubmed/27070429,S2 Table,GSE69264,NA,NA,add in 2016.06.03
NA,Development/Dauer/Aging,NA,Age-related,1068,http://www.ncbi.nlm.nih.gov/pubmed/18662544,"Supplementary Table 4, Budovskaya YV, Cell. 2008",GSE12094,NA,NA,
NA,Development/Dauer/Aging,NA,Aging between 12 and 24 days,427,http://www.ncbi.nlm.nih.gov/pubmed/18778409,Supplementary Table 11,GSE12290,NA,NA,
NA,Development/Dauer/Aging,NA,"aging, proteolysis and lipid metabolism",440,http://www.ncbi.nlm.nih.gov/pubmed/18778409,Supplementary Table 8,GSE12290,NA,NA,
NA,TF Targets,NA,AHA-1 L1 targets (Araya),32,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,AHA-1 L4 targets (Araya),47,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,Mutants,NA,alg-1 candidates,3016,http://www.ncbi.nlm.nih.gov/pubmed/20062054,NA,GSE19138,NA,NA,
NA,TF Targets,NA,alg-3/alg-4 26G-RNA Targets,1408,http://www.ncbi.nlm.nih.gov/pubmed/24360276,Table S1,GSE49672,NA,NA,
NA,TF Targets,NA,alg-3/alg-4 negatively regulated proteins (sperm),43,http://www.ncbi.nlm.nih.gov/pubmed/24360276,Table S3,GSE49672,NA,NA,
NA,TF Targets,NA,alg-3/alg-4 negatively regulated targets,204,http://www.ncbi.nlm.nih.gov/pubmed/24360276,Table S2,GSE49672,NA,NA,
NA,TF Targets,NA,alg-3/alg-4 positively regulated proteins (sperm),122,http://www.ncbi.nlm.nih.gov/pubmed/24360276,Table S2,GSE49672,NA,NA,
NA,TF Targets,NA,alg-3/alg-4 positively regulated targets,214,http://www.ncbi.nlm.nih.gov/pubmed/24360276,Table S1,GSE49672,NA,NA,
NA,Other,NA,aln-1 related genes,2636,http://www.ncbi.nlm.nih.gov/pubmed/18042455,Supplementary Table 5,GSE9073,NA,NA,
NA,Other,NA,aln-2 related genes,1867,http://www.ncbi.nlm.nih.gov/pubmed/18042455,Supplementary Table 6,GSE9073,NA,NA,
NA,TF Targets,NA,ALR-1 L2 targets (Araya),36,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,Other,NA,altered splice site representation by tdp-1(ok803),349,http://www.ncbi.nlm.nih.gov/pubmed/25391662,Supplementary Table S6,GSE61581,NA,NA,
NA,TF Targets,NA,ALY-2 L1 targets (Araya),137,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,ALY-2 L3 targets (Araya),30,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,ALY-2 L4 targets (Araya),120,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,Kim Mountains,NA,AmineOxidase,7,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,Mutants,NA,antisense small RNA reads depleted in rde-1 mutant,85,http://www.ncbi.nlm.nih.gov/pubmed/23811144,Table S4,GSE46530,NA,NA,
NA,Mutants,NA,atfs-1 targets under spg-7(RNAi),463,http://www.ncbi.nlm.nih.gov/pubmed/25773600,Table S2,GSE58931,NA,NA,
NA,TF Targets,NA,attf-4 L4 targets (Araya),33,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,BLMP-1 EM targets (Araya),117,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,BLMP-1 L1 targets (Araya),229,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,"Bound by DREAM (DP, Retinoblastoma [Rb]-like, E2F, and MuvB) complex (Embryo)",426,http://www.ncbi.nlm.nih.gov/pubmed/25737279,Supplemental TableS3,GSE62833,NA,NA,
NA,Mutants,NA,"Bound by DREAM (DP, Retinoblastoma [Rb]-like, E2F, and MuvB) complex (L3)",532,http://www.ncbi.nlm.nih.gov/pubmed/25737279,Supplemental TableS54,GSE62833,NA,NA,
NA,Tissue,NA,BWM-enriched core,122,http://www.ncbi.nlm.nih.gov/pubmed/21177967,Supp file 4,GSE23262-9,NA,NA,
NA,TF Targets,NA,C30G4.7 L4 targets (Araya),42,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,C34F6.9 L2 targets (Araya),48,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,Chemicals/stress,NA,Cadmium-responsive,93,http://www.ncbi.nlm.nih.gov/pubmed/17592649,Additional data file 5,GSE7535,NA,NA,
NA,TF Targets,NA,candidate NHR-49 interacting proteins,20,http://www.ncbi.nlm.nih.gov/pubmed/22511885,Table S2.a,GSE34856,NA,NA,
NA,Kim Mountains,NA,Carbohydrate metabolism,107,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,TF Targets,NA,cebp-1 targets,212,https://www.ncbi.nlm.nih.gov/pubmed/27927209,Supplementary Table 1,GSE83330,NA,NA,add in 2017.07.26
NA,TF Targets,NA,CEH-14 L2 targets,857,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,encode,NA,NA,
NA,TF Targets,NA,CEH-16 L2 targets (Araya),261,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
WS283,Development/Dauer/Aging,NA,ceh-23 activated genes,1156,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12619,Table S2,GSE67754,FDR = 0.59; foldchange >= 1.5,authors,added 2022.05.24
WS283,Development/Dauer/Aging,NA,ceh-23 repressed genes,581,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12619,Table S2,GSE67754,FDR = 0.59; foldchange <= -1.5,authors,added 2022.05.24
NA,TF Targets,NA,CEH-26 LE targets (Araya),71,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,CEH-28 L3 targets (Araya),210,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,CEH-28 L4 targets (Araya),380,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,CEH-30 Emb targets,1053,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,encode,NA,NA,
NA,TF Targets,NA,CEH-30 LE targets (Araya),31,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,CEH-82 L1 targets (Araya),29,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,CEH-82 L3 targets (Araya),70,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,CEH-82 L4 targets (Araya),72,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,Kim Mountains,NA,Cell adhesion,39,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,Kim Mountains,NA,Cell division,128,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,Kim Mountains,NA,Cell migration,14,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,Kim Mountains,NA,"Cell structural,muscle",332,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,TF Targets,NA,CES-1 L3 targets (Araya),29,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,CES-1 LE targets (Araya),269,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,Mutants,NA,"Change with siRNA reads, coding region, 3'UTR",132,http://www.ncbi.nlm.nih.gov/pubmed/23329696,Table S7,GSE43207,NA,NA,
NA,Other,NA,"Change with siRNA reads, coding region, 5'UTR",92,http://www.ncbi.nlm.nih.gov/pubmed/23329696,Supp Table S2,GSE33313,NA,NA,
NA,Other,NA,"Change with siRNA reads, coding region, post duaer",473,http://www.ncbi.nlm.nih.gov/pubmed/23329696,Supp Table S2,GSE33313,NA,NA,
NA,Development/Dauer/Aging,NA,"Changed 9, 14, 19 days vs. 4 days in daf-2 mutant",15,http://www.ncbi.nlm.nih.gov/pubmed/15153179,Table 2,E-MEXP-138,NA,NA,
NA,Development/Dauer/Aging,NA,"Changed 9, 14, 19 days vs. 4 days in N2",17,http://www.ncbi.nlm.nih.gov/pubmed/15153179,Table 2,E-MEXP-138,NA,NA,
NA,Mutants,NA,Changed between CB4856 and N2 by eQTL,430,http://www.ncbi.nlm.nih.gov/pubmed/20610403,Supplementary Table 1,GSE25285,NA,NA,
NA,Other,NA,"Changed between CB4856 and N2, Juveniles",2078,http://www.ncbi.nlm.nih.gov/pubmed/22670229,Table S1,GSE22887,NA,NA,
NA,TF Targets,NA,"Changed between CB4856 and N2, Old",2573,http://www.ncbi.nlm.nih.gov/pubmed/22670229,Document S1,GSE36419,NA,NA,
NA,Other,NA,"Changed between CB4856 and N2, Reproductives",1802,http://www.ncbi.nlm.nih.gov/pubmed/22670229,Table S1,GSE22887,NA,NA,
NA,Development/Dauer/Aging,NA,Changed between long- and short-lived animals,45,http://www.ncbi.nlm.nih.gov/pubmed/22081913,Table S10,NA,NA,NA,
NA,Chemicals/stress,NA,Changed by arsenic,179,http://www.ncbi.nlm.nih.gov/pubmed/23894281,Re-analysis (fdr<0.05),GSE39012,NA,NA,
NA,Chemicals/stress,NA,Changed by Chlorpyrifos 16C,610,http://www.ncbi.nlm.nih.gov/pubmed/21931806,Table S1,GSE24257,NA,NA,
NA,Chemicals/stress,NA,Changed by Chlorpyrifos 24C,865,http://www.ncbi.nlm.nih.gov/pubmed/21931806,Table S1,GSE24257,NA,NA,
NA,Chemicals/stress,NA,Changed by Chlorpyrifos+Diazinon 16C,622,http://www.ncbi.nlm.nih.gov/pubmed/21931806,Table S1,GSE24257,NA,NA,
NA,Chemicals/stress,NA,Changed by Chlorpyrifos+Diazinon 24C,1744,http://www.ncbi.nlm.nih.gov/pubmed/21931806,Table S1,GSE24257,NA,NA,
NA,Chemicals/stress,NA,Changed by Diazinon 16C,543,http://www.ncbi.nlm.nih.gov/pubmed/21931806,Table S1,GSE24257,NA,NA,
NA,Chemicals/stress,NA,Changed by Diazinon 24C,1243,http://www.ncbi.nlm.nih.gov/pubmed/21931806,Table S1,GSE24257,NA,NA,
NA,Chemicals/stress,NA,Changed by gravity at protein level,53,https://www.ncbi.nlm.nih.gov/pubmed/28725720,Supplementary Tables,GSE71771,NA,NA,add in 2017.07.27
NA,Mutants,NA,changed by mir-35-41(nDf50) embryos,828,https://www.ncbi.nlm.nih.gov/pubmed/28279983,Supp. Table S1,GSE94703,NA,NA,add in 2017.07.26
NA,Mutants,NA,Changed by mtss-1 RNAi,35,http://www.ncbi.nlm.nih.gov/pubmed/17900564,Table 2,NA,NA,NA,
NA,Chemicals/stress,NA,Changed by nitric oxide (NO) treatment under hsf-1 (SY441) mutant,99,http://www.ncbi.nlm.nih.gov/pubmed/23415229,Table S6,GSE43614,NA,NA,
NA,Mutants,NA,Changed by sun-1,16,http://www.ncbi.nlm.nih.gov/pubmed/27098914,Table S2,GSE76773,NA,NA,add in 2016.05.30
NA,Chemicals/stress,NA,Changed by ToxA at protein level,50,https://www.ncbi.nlm.nih.gov/pubmed/27927200,Supplementary Table 5,GSE87052,NA,NA,add in 2017.07.26
NA,DAF/Insulin/food,NA,Changed daf-2 vs. N2,43,http://www.ncbi.nlm.nih.gov/pubmed/15153179,Table 3,E-MEXP-138,NA,NA,
NA,Chemicals/stress,NA,Changed exposure to 200 nM NaCl,317,http://www.ncbi.nlm.nih.gov/pubmed/20126308,Table S1,GSE19310,NA,NA,
NA,Other,NA,Changed in mutation-accumulation (MA) lines,730,http://www.ncbi.nlm.nih.gov/pubmed/15852004,Supplementary Table 1,GSE4123,NA,NA,
NA,Other,NA,Changed in natural isolate (NI) lines,136,http://www.ncbi.nlm.nih.gov/pubmed/15852004,Supplementary Table 2,GSE4123,NA,NA,
NA,DAF/Insulin/food,NA,Changed in TGF mutant with putative DAF-16 binding sites,135,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 3,E-SMDB-3596,NA,NA,
NA,Microbes,NA,Changed infected by Microbacterium nematophilum,100,http://www.ncbi.nlm.nih.gov/pubmed/16809667,Supp_Data_S1,E-MEXP-696,NA,NA,
NA,Microbes,NA,Changed infected to S. aureus and exposure to B. thuringiensis PFT,19,http://www.ncbi.nlm.nih.gov/pubmed/20617181,Table S3,GSE21819,NA,NA,
NA,Other,NA,Changed microwave exposure,28,http://www.ncbi.nlm.nih.gov/pubmed/19533680,Table 1,GSE10787,NA,NA,
NA,Development/Dauer/Aging,NA,"changed on 6 days vs. 3 days, aging",1305,http://www.ncbi.nlm.nih.gov/pubmed/12372248,Supplemental Table 1,GSE4005,NA,NA,
NA,Chemicals/stress,NA,Changed upon organophosphorus pesticide intoxication,31,http://www.ncbi.nlm.nih.gov/pubmed/19402892,Tab 3,GSE12298,NA,NA,
NA,Microbes,NA,Changed Y. pestis vs. E. coli,255,http://www.ncbi.nlm.nih.gov/pubmed/20133945,Supp table,GSE20053,NA,NA,
NA,Kim Mountains,NA,Chemosensation,39,http://www.ncbi.nlm.nih.gov/pubmed/11557892,Supplemental Table 1,Supplemental,NA,NA,
NA,Development/Dauer/Aging,NA,Climbing nodes,163,http://www.ncbi.nlm.nih.gov/pubmed/12620986,Supp table S4,NA,NA,NA,
NA,Other,NA,"Cluster 1, cycling expression postembryonic",223,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 10, decreasing expression postembryonic",1928,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 11, decreasing expression postembryonic",855,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Chemicals/stress,NA,"Cluster 12, constant expression postembryonic",4786,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Table S4,GSE28915,NA,NA,
NA,Other,NA,"Cluster 2, cycling expression postembryonic",378,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 3, cycling expression postembryonic",114,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 4, cycling expression postembryonic",531,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 5, cycling expression postembryonic",87,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 6, cycling expression postembryonic",219,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 7, decreasing expression postembryonic",3178,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 8, increasing expression postembryonic",577,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Other,NA,"Cluster 9, increasing expression postembryonic",816,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,GSE49043,NA,NA,
NA,Tissue,NA,Coelomocyte enriched core,49,http://www.ncbi.nlm.nih.gov/pubmed/21177967,Supp file 5,GSE23262-9,NA,NA,
NA,TF Targets,NA,Co-expressed with genes that inactivations enhance exogenous RNAi,125,http://www.ncbi.nlm.nih.gov/pubmed/24352423,supplemental data,GSE44710,NA,NA,
NA,Mutants,NA,Comman by Resveratrol Treatment widltype vs. daf-16 mutant,121,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,GSE4402,NA,NA,
NA,Microbes,NA,"Comman in 4 Pathogens(B. thuringiensis DB27,S. Aureus,S. Marcescens and X. nematophila)",120,http://www.ncbi.nlm.nih.gov/pubmed/23028509,Supp Table S1,GSE36636,NA,NA,
NA,Microbes,NA,Common between C. elegans and P. pacificus to X. Nematophila,1956,http://www.ncbi.nlm.nih.gov/pubmed/23028509,Supp table S7,GSE36636,NA,NA,
NA,Microbes,NA,Common between C. elegans and P. pacificus toS. marcescens and X. Nematophila,406,http://www.ncbi.nlm.nih.gov/pubmed/23028509,Supp table S7,GSE36636,NA,NA,
