WormBaseVersion_checked,Categories,Gene Set name,number_genes,Refs,Data From,Selection_criteria,decided_by,Rawdata,Comment,
,Mutants,UP rde-4(ne337) mutant,203,http://www.ncbi.nlm.nih.gov/pubmed/17526642,RawData,,,E-MEXP-956,,
,TF Targets,alr-1 L2 targets,1137,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,BLMP-1 L1 targets,3425,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,CEH-14 L2 targets,857,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,CEH-30 Emb targets,1053,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,egl-27 L1 targets,407,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,egl-3 L1 targets,1631,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,egl-5 L3 targets,807,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,eor-1 L3 targets,2630,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,gei-11 L4 targets,158,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,HLH-1 Emb targets,623,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,Hox gene Targets,296,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,LIN-11 L2 Targets,312,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,LIN-13 Emb Targets,1195,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,LIN-15B L3 Targets,2393,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,LIN-39 L3 Targets,821,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,MAB-5 L3 Targets,1642,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,MDL-1 L1 Targets,3257,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,MEP-1 Emb Targets,2164,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,PES-1 L4 Targets,2255,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,PHA-4 emb Targets,2904,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,PHA-4 L1 Targets,3340,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,PHA-4 L2 Targets,2686,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,PHA-4 lemb Targets,3530,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,PHA-4 YA Targets,203,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,PQM-1 L3 Targets,1700,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,SKN-1 L1 Targets,2247,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,TF Targets,UNC-130 L3 Targets,284,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,,,encode,,
,DAF/Insulin/food,Changed in TGF mutant with putative DAF-16 binding sites,135,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 3,,,E-SMDB-3596,,
,Mutants,Down daf-14 mutant,791,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 1,,,E-SMDB-3596,,
,Mutants,Down daf-7 mutant,864,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 1,,,E-SMDB-3596,,
,Mutants,Down daf-8 mutant,586,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 1,,,E-SMDB-3596,,
,Development/Dauer/Aging,Strongly regulated genes by TGFbeta,1103,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 2,,,E-SMDB-3596,,
,Mutants,UP daf-14 mutant,580,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 1,,,E-SMDB-3596,,
,Mutants,UP daf-7 mutant,355,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 1,,,E-SMDB-3596,,
,Mutants,UP daf-8 mutant,133,http://www.ncbi.nlm.nih.gov/pubmed/15380030,Additional File 1,,,E-SMDB-3596,,
,Mutants,Down lin-14 (n179ts) mutant,174,http://www.ncbi.nlm.nih.gov/pubmed/16314527,Rawdata,,,E-SMDB-3919 ,,
,Mutants,Down lin-14 mutant,313,http://www.ncbi.nlm.nih.gov/pubmed/16314527,Rawdata,,,E-SMDB-3919 ,,
,Mutants,UP lin-14 (n179ts) mutant,62,http://www.ncbi.nlm.nih.gov/pubmed/16314527,Rawdata,,,E-SMDB-3919 ,,
,Mutants,UP lin-14 mutant,78,http://www.ncbi.nlm.nih.gov/pubmed/16314527,Rawdata,,,E-SMDB-3919 ,,
,Tissue,enriched by CYE-1/CDK-2AF expession Muscle,219,http://www.ncbi.nlm.nih.gov/pubmed/22102824,Table S2.,,,E-TABM-886,,
,Tissue,enriched by CYE-1/CDK-4 expession Muscle,395,http://www.ncbi.nlm.nih.gov/pubmed/22102824,Table S2.,,,E-TABM-886,,
,Tissue,Enriched in muscle,630,http://www.ncbi.nlm.nih.gov/pubmed/22102824,Table S1.,,,E-TABM-886,,
,Other,Operons1,765,http://www.ncbi.nlm.nih.gov/pubmed/12075352,Supplementary Table 2,,,GPE2975,,
,Other,SL2-Enriched,756,http://www.ncbi.nlm.nih.gov/pubmed/12075352,Supplementary Table 2,,,GPE2975,,
WBcel235,Mutants,Down in daf-2,80,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange <= -2,JN,GSE100045,,
WBcel235,DAF/Insulin/food,Down in cav-2(RNAi),2,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange <= -2,JN,GSE100045,,
WBcel235,Development/Dauer/Aging,Down in cav-2(RNAi),2,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange <= -2,JN,GSE100045,,
WBcel235,Mutants,Down in cav-2(RNAi),2,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange <= -2,JN,GSE100045,,
WBcel235,DAF/Insulin/food,Down in daf-2,80,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange <= -2,JN,GSE100045,,
WBcel235,Development/Dauer/Aging,Down in daf-2,80,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange <= -2,JN,GSE100045,,
WBcel235,Mutants,Up in daf-2,48,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange >= 2,JN,GSE100045,,
WBcel235,DAF/Insulin/food,Up in cav-1(RNAi),1,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange >= 2,JN,GSE100045,,
WBcel235,Development/Dauer/Aging,Up in cav-1(RNAi),1,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange >= 2,JN,GSE100045,,
WBcel235,Mutants,Up in cav-1(RNAi),1,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange >= 2,JN,GSE100045,,
WBcel235,DAF/Insulin/food,Up in daf-2,48,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange >= 2,JN,GSE100045,,
WBcel235,Development/Dauer/Aging,Up in daf-2,48,https://www.embopress.org/doi/full/10.15252/embr.201745673,GEO supplementary,padj < 0.01; foldchange >= 2,JN,GSE100045,,
WS250,Mutants,Down by set-26,531,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Down by set-26,531,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Down by set-26,531,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Down by set-9,560,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Down by set-9,560,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Down by set-9,560,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Down in daf-16;set-26;glp1 vs set-26; glp-1,130,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Down in daf-16;set-26;glp1 vs set-26; glp-1,130,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Down in daf-16;set-26;glp1 vs set-26; glp-1,130,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Down in F1 set-9;set-26,1644,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Down in F1 set-9;set-26,1644,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Down in F1 set-9;set-26,1644,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Down in F3 set-9;set-26,967,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Down in F3 set-9;set-26,967,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Down in F3 set-9;set-26,967,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Down in set-26; glp-1  vs glp-1,946,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Down in set-26; glp-1  vs glp-1,946,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Down in set-26; glp-1  vs glp-1,946,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,genes with differential H3K4me3 level in F1 set-9 set-26,3017,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,genes with differential H3K4me3 level in F1 set-9 set-26,3017,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,genes with differential H3K4me3 level in F1 set-9 set-26,3017,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,genes with differential H3K4me3 level in F3 set-9 set-26,4517,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,genes with differential H3K4me3 level in F3 set-9 set-26,4517,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,genes with differential H3K4me3 level in F3 set-9 set-26,4517,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Up by set-26,338,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Up by set-26,338,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Up by set-26,338,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Up by set-9,170,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Up by set-9,170,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Up by set-9,170,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Up in daf-16;set-26;glp1 vs set-26; glp-1,164,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Up in daf-16;set-26;glp1 vs set-26; glp-1,164,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Up in daf-16;set-26;glp1 vs set-26; glp-1,164,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Up in F1 set-9;set-26,1888,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Up in F1 set-9;set-26,1888,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Up in F1 set-9;set-26,1888,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Up in F3 set-9;set-26,1137,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Up in F3 set-9;set-26,1137,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Up in F3 set-9;set-26,1137,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Mutants,Up in set-26; glp-1  vs glp-1,887,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Development/Dauer/Aging,Up in set-26; glp-1  vs glp-1,887,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WS250,Epigenetics,Up in set-26; glp-1  vs glp-1,887,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,FDR<0.05,authors,GSE100623,,
WBcel235 ,Chemicals/stress,Down in worms fed with B. Subtilis at 15C,755,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 4,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Down in worms fed with B. Subtilis at 15C,755,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 4,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Down in worms fed with B. Subtilis at 15C,755,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 4,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Down in worms fed with B. Subtilis at 25C,632,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 9,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Down in worms fed with B. Subtilis at 25C,632,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 9,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Down in worms fed with B. Subtilis at 25C,632,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 9,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Down in worms fed with E. Coli at 15C,389,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 2,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Down in worms fed with E. Coli at 15C,389,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 2,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Down in worms fed with E. Coli at 15C,389,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 2,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Down in worms fed with E. Coli at 25C,630,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 7,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Down in worms fed with E. Coli at 25C,630,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 7,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Down in worms fed with E. Coli at 25C,630,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 7,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Up in worms fed with B. Subtilis at 15C,8,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 8,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Up in worms fed with B. Subtilis at 15C,8,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 8,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Up in worms fed with B. Subtilis at 15C,8,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 8,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Up in worms fed with B. Subtilis at 25C,147,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 3,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Up in worms fed with B. Subtilis at 25C,147,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 3,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Up in worms fed with B. Subtilis at 25C,147,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 3,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Up in worms fed with B. Subtilis independent on temperature,174,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 13,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Up in worms fed with B. Subtilis independent on temperature,174,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 13,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Up in worms fed with B. Subtilis independent on temperature,174,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 13,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Up in worms fed with E. Coli at 15C,30,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 6,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Up in worms fed with E. Coli at 15C,30,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 6,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Up in worms fed with E. Coli at 15C,30,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 6,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Up in worms fed with E. Coli at 25C,180,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 1,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Up in worms fed with E. Coli at 25C,180,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 1,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Up in worms fed with E. Coli at 25C,180,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 1,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Chemicals/stress,Up in worms fed with E. Coli independent on temperature,70,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 12,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,Microbes,Up in worms fed with E. Coli independent on temperature,70,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 12,FDR<0.05; foldchange unknown,authors,GSE101524,,
WBcel235 ,DAF/Insulin/food,Up in worms fed with E. Coli independent on temperature,70,https://pubmed.ncbi.nlm.nih.gov/29515753/,Supplementary Table 12,FDR<0.05; foldchange unknown,authors,GSE101524,,
WS283,Development/Dauer/Aging,Down in lin-22(icb38) mutants,674,https://pubmed.ncbi.nlm.nih.gov/29108019/,S1 Data,padj < 0.05; foldchange <= 0,JN,GSE101645,,
WS283,Development/Dauer/Aging,Down in lin-22(ot267) mutants,363,https://pubmed.ncbi.nlm.nih.gov/29108019/,S1 Data,padj < 0.05; foldchange <= 0,JN,GSE101645,,
WS283,Development/Dauer/Aging,Down in lin-22(ot269) mutants,970,https://pubmed.ncbi.nlm.nih.gov/29108019/,S1 Data,padj < 0.05; foldchange <= 0,JN,GSE101645,,
WS283,Development/Dauer/Aging,Up in lin-22(icb38) mutants,486,https://pubmed.ncbi.nlm.nih.gov/29108019/,S1 Data,padj < 0.05; foldchange >= 0,JN,GSE101645,,
