Categories,Gene Set name,Refs,Rawdata,Additional categories,
Microbes,Down Myzocytiopsis humicola in JU2519 12h after exposure ,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
Microbes,Down Myzocytiopsis humicola in JU2519 24h after exposure ,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
Microbes,Up by Myzocytiopsis humicola in JU2519 12h after exposure ,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
Microbes,Up in JU2519 12h before exposure to Myzocytiopsis humicola,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
Microbes,Up in JU2519 24h before exposure to Myzocytiopsis humicola,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
Microbes,Up Myzocytiopsis humicola in JU2519 24h after exposure ,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
Chemicals/stress,Down by 0.02 mg/mL procyanidin fraction,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Down by 0.2 mg/mL procyanidin crude extract,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Down by 0.2 mg/mL procyanidin fraction,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Down by 2 mg/mL procyanidin fraction,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Up by 0.02 mg/mL procyanidin fraction,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Up by 0.2 mg/mL procyanidin crude extract,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Up by 0.2 mg/mL procyanidin fraction,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Up by 2 mg/mL procyanidin fraction,https://pubmed.ncbi.nlm.nih.gov/28926584/,GSE101680,NA,
Chemicals/stress,Down by Indole in N2 in adult animals (day 12),https://pubmed.ncbi.nlm.nih.gov/28827345/,GSE101910,NA,
Chemicals/stress,Up by Indole in N2 in adult animals (day 12),https://pubmed.ncbi.nlm.nih.gov/28827345/,GSE101910,NA,
Development/Dauer/Aging,Down in age-dependent RNA expression,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007466#sec019,GSE101964,NA,
Mutants,Down in ash-2 mutants,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007466#sec019,GSE101964,NA,
Development/Dauer/Aging,Up in age-dependent RNA expression,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007466#sec019,GSE101964,NA,
Mutants,Up in ash-2 mutants,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007466#sec019,GSE101964,NA,
Tissue,Down by thoc-5(wy822) mutants,https://pubmed.ncbi.nlm.nih.gov/30146163/,GSE102300,mutants,
Tissue,Up by thoc-5(wy822) mutants,https://pubmed.ncbi.nlm.nih.gov/30146163/,GSE102300,mutants,
Chemicals/stress,Down in liquid axenic medium vs OP50 NGM agar plates in AB1,https://pubmed.ncbi.nlm.nih.gov/30064382/,GSE103776,NA,
Chemicals/stress,Down in liquid axenic medium vs OP50 NGM agar plates in N2,https://pubmed.ncbi.nlm.nih.gov/30064382/,GSE103776,NA,
Chemicals/stress,Up in liquid axenic medium vs OP50 NGM agar plates in AB1,https://pubmed.ncbi.nlm.nih.gov/30064382/,GSE103776,NA,
Chemicals/stress,Up in liquid axenic medium vs OP50 NGM agar plates in N2,https://pubmed.ncbi.nlm.nih.gov/30064382/,GSE103776,NA,
Development/Dauer/Aging,Down in daf-2,https://pubmed.ncbi.nlm.nih.gov/30300667/,GSE106672,mutants,
Development/Dauer/Aging,Down in eat-2,https://pubmed.ncbi.nlm.nih.gov/30300667/,GSE106672,mutants,
Development/Dauer/Aging,Up in daf-2,https://pubmed.ncbi.nlm.nih.gov/30300667/,GSE106672,mutants,
Development/Dauer/Aging,Up in eat-2,https://pubmed.ncbi.nlm.nih.gov/30300667/,GSE106672,mutants,
Epigenetics,Down in H3.3(-)  embryos,https://pubmed.ncbi.nlm.nih.gov/29636369/,GSE106889,mutants,
Epigenetics,Down in H3.3(-) L1 larvae,https://pubmed.ncbi.nlm.nih.gov/29636369/,GSE106889,mutants,
Epigenetics,Up in H3.3(-) embryos,https://pubmed.ncbi.nlm.nih.gov/29636369/,GSE106889,mutants,
Epigenetics,Up in H3.3(-) L1 larvae,https://pubmed.ncbi.nlm.nih.gov/29636369/,GSE106889,mutants,
TF Target,Down in elt-2(-) larvae vs elt-2(-);elt-7(-) larvae,https://pubmed.ncbi.nlm.nih.gov/29360433/,GSE107175,mutants,
TF Target,Down in wt vs elt-2(-) larvae,https://pubmed.ncbi.nlm.nih.gov/29360433/,GSE107175,mutants,
TF Target,Down in wt vs elt-2(-);elt-7(-) larvae,https://pubmed.ncbi.nlm.nih.gov/29360433/,GSE107175,mutants,
TF Target,Up in elt-2(-) larvae vs elt-2(-);elt-7(-) larvae,https://pubmed.ncbi.nlm.nih.gov/29360433/,GSE107175,mutants,
TF Target,Up in wt vs elt-2(-) larvae,https://pubmed.ncbi.nlm.nih.gov/29360433/,GSE107175,mutants,
TF Target,Up in wt vs elt-2(-);elt-7(-) larvae,https://pubmed.ncbi.nlm.nih.gov/29360433/,GSE107175,mutants,
TF Target,Up in wt vs elt-7(-) larvae,https://pubmed.ncbi.nlm.nih.gov/29360433/,GSE107175,mutants,
Microbes,Down S. maltophilia JCMS vs E. coli OP50,https://pubmed.ncbi.nlm.nih.gov/30177956/,GSE107272,NA,
Microbes,Down S. maltophilia JCMS vs. S. maltophilia K279a,https://pubmed.ncbi.nlm.nih.gov/30177956/,GSE107272,NA,
Microbes,Down S. maltophilia K279a vs. E. coli OP50,https://pubmed.ncbi.nlm.nih.gov/30177956/,GSE107272,NA,
Microbes,Up S. maltophilia JCMS vs E. coli OP50,https://pubmed.ncbi.nlm.nih.gov/30177956/,GSE107272,NA,
Microbes,Up S. maltophilia JCMS vs. S. maltophilia K279a,https://pubmed.ncbi.nlm.nih.gov/30177956/,GSE107272,NA,
Microbes,Up S. maltophilia K279a vs. E. coli OP50,https://pubmed.ncbi.nlm.nih.gov/30177956/,GSE107272,NA,
Chemicals/stress,down by skn-1(RNAi) in dpy-7,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,mutants,
Chemicals/stress,down by skn-1(RNAi) at 24 h,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,mutants,
Mutants,up at 24 h of NaCl,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Mutants,up at 24h and down by skn-1,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Mutants,up at 24h NaCl and dpy-7,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Mutants,up at 3h and 24h NaCl,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Mutants,Up at 3h and skn-1 down,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Mutants,up at 3h NaCl and dpy-7,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Mutants,"Up at 3h, 24h, and dpy-7",https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Mutants,up in dpy-7,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,NA,
Chemicals/stress,up in dpy-7 and down by skn-1,https://pubmed.ncbi.nlm.nih.gov/29487136/,GSE107704,mutants,
Chemicals/stress,Down N2 + peroxide tBOOH vs. nhr-49 + peroxide tBOOH,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12743,GSE107799,NA,
TF Target,Down N2 vs. nhr-49,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12743,GSE107799,mutants,
Chemicals/stress,Up by peroxide tBOOH in N2,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12743,GSE107799,NA,
Chemicals/stress,Up by peroxide tBOOH in nhr-49 mutants,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12743,GSE107799,NA,
Chemicals/stress,Up N2 + peroxide tBOOH vs. nhr-49 + peroxide tBOOH,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12743,GSE107799,NA,
TF Target,Up N2 vs. nhr-49,https://onlinelibrary.wiley.com/doi/full/10.1111/acel.12743,GSE107799,mutants,
Other,Changed microwave exposure,http://www.ncbi.nlm.nih.gov/pubmed/19533680,GSE10787,NA,
Chemicals/stress,Down in Heat-Shocked,http://www.ncbi.nlm.nih.gov/pubmed/19533680,GSE10787,NA,
Chemicals/stress,UP heat-shocked,http://www.ncbi.nlm.nih.gov/pubmed/19533680,GSE10787,NA,
Tissue,Up in HSP-90 overexpressing neurons,https://pubmed.ncbi.nlm.nih.gov/29949773/,GSE108005,NA,
Chemicals/stress,Down by Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Metformin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Psora + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rapamycin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rapamycin + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rapamycin + Metformin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rapamycin + Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rapamycin + Rifampicin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rapamycin + Rifampicin + Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rifampicin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rifampicin + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rifampicin + Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down by Rifampicin + Psora + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Metformin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Psora + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rapamycin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rapamycin + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rapamycin + Metformin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rapamycin + Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rapamycin + Rifampicin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rapamycin + Rifampicin + Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rifampicin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rifampicin + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rifampicin + Psora,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Up by Rifampicin + Psora + Allantoin,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,GSE108263,NA,
Chemicals/stress,Down in cyp-36;egl-9 vs egl-9,https://pubmed.ncbi.nlm.nih.gov/30010540/,GSE108283,mutants,
Chemicals/stress,Down in egl-9(lf),https://pubmed.ncbi.nlm.nih.gov/30010540/,GSE108283,mutants,
Chemicals/stress,Down in egl-9;hif-1 vs egl-9,https://pubmed.ncbi.nlm.nih.gov/30010540/,GSE108283,mutants,
Chemicals/stress,Up in cyp-36;egl-9 vs egl-9,https://pubmed.ncbi.nlm.nih.gov/30010540/,GSE108283,mutants,
Chemicals/stress,Up in egl-9(lf),https://pubmed.ncbi.nlm.nih.gov/30010540/,GSE108283,mutants,
Chemicals/stress,Up in egl-9;hif-1 vs egl-9,https://pubmed.ncbi.nlm.nih.gov/30010540/,GSE108283,mutants,
